exp_folder,w1,w2,w3,w4,loss
00057-cifar10-4-3-dpmpp-3-poly7.0,0.0600530828313048,0.1948198161524506,0.5794605296493404,1.0,4.28730249
00058-cifar10-4-3-dpmpp-3-poly7.0,0.17063302317895007,0.24608915084996355,0.5110555631616406,1.0,4.30762863
00059-cifar10-4-3-dpmpp-3-poly7.0,0.08527495431689362,0.4269860445704862,0.4395413754563635,1.0,4.32399273
00060-cifar10-4-3-dpmpp-3-poly7.0,0.015398474434761165,0.27446171237292716,0.5667892521672789,1.0,4.29564571
00061-cifar10-4-3-dpmpp-3-poly7.0,0.19980495657657135,0.4410699987446244,0.709611924297597,1.0,4.36504126
00062-cifar10-4-3-dpmpp-3-poly7.0,0.014167788156340236,0.04634241583869268,0.5062559992664549,1.0,4.24299717
00063-cifar10-4-3-dpmpp-3-poly7.0,0.21342674285311472,0.3493283544256305,0.6405989794513831,1.0,4.34384823
00064-cifar10-4-3-dpmpp-3-poly7.0,0.1971291753553611,0.4588760244718337,0.7047226073889239,1.0,4.36747885
00065-cifar10-4-3-dpmpp-3-poly7.0,0.21053275327746485,0.4669788533972703,0.681924139779667,1.0,4.37027121
00066-cifar10-4-3-dpmpp-3-poly7.0,0.11535685351503674,0.43694798443175326,0.492384428977909,1.0,4.33493805
00067-cifar10-4-3-dpmpp-3-poly7.0,0.08678823950405529,0.4406039567407336,0.5726032701966852,1.0,4.33882999
00068-cifar10-4-3-dpmpp-3-poly7.0,0.03702329239103384,0.3369314127280573,0.47515578417542614,1.0,4.30129004
00069-cifar10-4-3-dpmpp-3-poly7.0,0.006146011249593918,0.03926559720172233,0.43076621677422056,1.0,4.23565006
00070-cifar10-4-3-dpmpp-3-poly7.0,0.0067937937792934494,0.006974938421125069,0.29546476431015783,1.0,4.2272892
00071-cifar10-4-3-dpmpp-3-poly7.0,0.43620739442896256,0.4390483692691444,0.5633308100227921,1.0,4.39568567
00072-cifar10-4-3-dpmpp-3-poly7.0,0.004790721866653417,0.015284577279766912,0.40887584656443415,1.0,4.2302103
00073-cifar10-4-3-dpmpp-3-poly7.0,0.01809408485400782,0.02756838168374568,0.37816101206920183,1.0,4.23224926
00074-cifar10-4-3-dpmpp-3-poly7.0,0.15046227655556732,0.4081740289372562,0.5214467292059645,1.0,4.33737707
00075-cifar10-4-3-dpmpp-3-poly7.0,0.0019913299592599757,0.007943236051587888,0.44456887167677334,1.0,4.22939205
00076-cifar10-4-3-dpmpp-3-poly7.0,0.19865072086037733,0.5117293553619107,0.6047840351655724,1.0,4.37136364
00077-cifar10-4-3-dpmpp-3-poly7.0,0.12835901921059753,0.2494157216636483,0.5635580806492392,1.0,4.3054781
00078-cifar10-4-3-dpmpp-3-poly7.0,0.009232004501990854,0.020955280904667327,0.2608017008648955,1.0,4.22892094
00079-cifar10-4-3-dpmpp-3-poly7.0,0.017015365364320037,0.04221215051173074,0.22411081444393707,1.0,4.23148727
00080-cifar10-4-3-dpmpp-3-poly7.0,0.009579063766934664,0.38242049179098514,0.4632638712583769,1.0,4.30606365
00081-cifar10-4-3-dpmpp-3-poly7.0,0.03263551026573138,0.0413533318581514,0.26320086584758423,1.0,4.23390388
00082-cifar10-4-3-dpmpp-3-poly7.0,0.013849938088272565,0.060104947381131965,0.06985419318608192,1.0,4.24455452
00083-cifar10-4-3-dpmpp-3-poly7.0,0.3309170288742224,0.3590411120790795,0.5587336284032685,1.0,4.35944176
00084-cifar10-4-3-dpmpp-3-poly7.0,0.34398410006100383,0.4756514257853926,0.5126752403240459,1.0,4.38485241
00085-cifar10-4-3-dpmpp-3-poly7.0,0.01753625344869512,0.051063225782232935,0.31580259620605305,1.0,4.23293066
00086-cifar10-4-3-dpmpp-3-poly7.0,0.030607038665553046,0.034374887947249924,0.30707807902374457,1.0,4.23424435
00087-cifar10-4-3-dpmpp-3-poly7.0,0.0014437472951855162,0.03104370159687008,0.31473270966092487,1.0,4.23073578
00088-cifar10-4-3-dpmpp-3-poly7.0,0.05045553857572864,0.0583911346709377,0.5008243749443182,1.0,4.24996662
00089-cifar10-4-3-dpmpp-3-poly7.0,0.20799434507724918,0.3090732655630613,0.5163802701402646,1.0,4.3247962
00090-cifar10-4-3-dpmpp-3-poly7.0,0.01060773830654347,0.1530701318896082,0.2955482744462409,1.0,4.24709415
00091-cifar10-4-3-dpmpp-3-poly7.0,0.31152094494137067,0.38562759906224436,0.6543501256530685,1.0,4.36755848
00092-cifar10-4-3-dpmpp-3-poly7.0,0.01004140747391803,0.025661822891309673,0.236307774279533,1.0,4.23036194
00093-cifar10-4-3-dpmpp-3-poly7.0,0.004079333568512052,0.023900816163829282,0.37832218491423036,1.0,4.23057222
00094-cifar10-4-3-dpmpp-3-poly7.0,0.028427832549689516,0.12038565029660533,0.2865767492246149,1.0,4.24377155
00095-cifar10-4-3-dpmpp-3-poly7.0,0.017004351110817835,0.017223341706348386,0.1909024994805004,1.0,4.23455334
00096-cifar10-4-3-dpmpp-3-poly7.0,0.0251313861752945,0.34190664037657514,0.6645740876724332,1.0,4.31752539
00097-cifar10-4-3-dpmpp-3-poly7.0,0.010539150229016251,0.012345229014762083,0.3604154367487793,1.0,4.23054504
00098-cifar10-4-3-dpmpp-3-poly7.0,0.0884918247645422,0.37385910297070407,0.5579488214746803,1.0,4.32356453
00099-cifar10-4-3-dpmpp-3-poly7.0,0.042708132712864735,0.22573555431701833,0.25012063638710574,1.0,4.25989246
00100-cifar10-4-3-dpmpp-3-poly7.0,0.011020185451889888,0.014394209471995307,0.4812270470956948,1.0,4.23453999
00101-cifar10-4-3-dpmpp-3-poly7.0,0.012817724158673655,0.04264781030236663,0.1887212669198596,1.0,4.23543835
00102-cifar10-4-3-dpmpp-3-poly7.0,0.0016350371176592816,0.036552464281652076,0.21776986188902203,1.0,4.23081875
00103-cifar10-4-3-dpmpp-3-poly7.0,0.0007617949577813028,0.04284288392901961,0.27154788472071534,1.0,4.22767067
00104-cifar10-4-3-dpmpp-3-poly7.0,0.03105748108633626,0.03323888280381541,0.4473929716439897,1.0,4.2385602
00105-cifar10-4-3-dpmpp-3-poly7.0,0.009915884493077818,0.03966017866228738,0.47003991086573166,1.0,4.23721981
00106-cifar10-4-3-dpmpp-3-poly7.0,0.1434164993114933,0.44551602466680496,0.6742595231443721,1.0,4.35498667
00107-cifar10-4-3-dpmpp-3-poly7.0,0.40589922777874315,0.4510445374922041,0.5635391594318117,1.0,4.39221478
00108-cifar10-4-3-dpmpp-3-poly7.0,0.09633534351230547,0.1059332137557405,0.13185286652003012,1.0,4.25110197
00109-cifar10-4-3-dpmpp-3-poly7.0,0.018858535542329767,0.020020224733242352,0.4096326437299458,1.0,4.23258114
00110-cifar10-4-3-dpmpp-3-poly7.0,0.004234171552924707,0.06369718126723622,0.32796871235375447,1.0,4.23458767
