Model already exists: ../sfd-main/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../sfd-main/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
/home/zeus/miniconda3/envs/cloudspace/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
Total parameters in U-Net:      60396419
Setting up optimizer...
Training for 2 kimg...

Step: 0 | Loss-mean:   9.66891575 | loss-std:   4.16844320
Step: 1 | Loss-mean:  16.69799423 | loss-std:   4.75977993
Step: 2 | Loss-mean:  18.54651642 | loss-std:   3.86184621
tick 0     kimg 0.0       time 8s           sec/tick 4.4     sec/kimg 275.44  maintenance 3.5    gpumem 2.33   reserved 2.42  
Step: 0 | Loss-mean:   8.51274490 | loss-std:   3.17045712
Step: 1 | Loss-mean:  14.45924854 | loss-std:   4.11862707
Step: 2 | Loss-mean:  16.64781952 | loss-std:   3.34723139
Step: 0 | Loss-mean:   9.60045242 | loss-std:   4.41768026
Step: 1 | Loss-mean:  13.28094387 | loss-std:   4.40438414
Step: 2 | Loss-mean:  15.02199268 | loss-std:   3.29021287
Step: 0 | Loss-mean:   9.50032234 | loss-std:   3.01969528
Step: 1 | Loss-mean:  15.29873848 | loss-std:   4.59884739
Step: 2 | Loss-mean:  16.48287964 | loss-std:   3.72045541
Step: 0 | Loss-mean:   8.05953026 | loss-std:   3.89558864
Step: 1 | Loss-mean:  12.83904362 | loss-std:   4.50142479
Step: 2 | Loss-mean:  13.92255116 | loss-std:   4.02518320
Step: 0 | Loss-mean:   9.38250732 | loss-std:   4.23971033
Step: 1 | Loss-mean:  12.23039627 | loss-std:   5.16979742
Step: 2 | Loss-mean:  13.58718109 | loss-std:   4.38729525
Step: 0 | Loss-mean:   7.56112576 | loss-std:   2.29400373
Step: 1 | Loss-mean:  11.94895363 | loss-std:   5.20385885
Step: 2 | Loss-mean:  13.26840019 | loss-std:   4.41186094
Step: 0 | Loss-mean:   9.13866329 | loss-std:   5.27621031
Step: 1 | Loss-mean:  13.22054100 | loss-std:   5.33984232
Step: 2 | Loss-mean:  13.66408348 | loss-std:   4.45085001
Step: 0 | Loss-mean:   9.95247650 | loss-std:   5.72557831
Step: 1 | Loss-mean:  14.70247459 | loss-std:   3.85063601
Step: 2 | Loss-mean:  14.91942883 | loss-std:   2.62859011
Step: 0 | Loss-mean:  10.29077339 | loss-std:   3.98691583
Step: 1 | Loss-mean:  15.10075855 | loss-std:   4.70214891
Step: 2 | Loss-mean:  14.94112015 | loss-std:   4.23119068
Step: 0 | Loss-mean:   9.86087990 | loss-std:   4.45757055
Step: 1 | Loss-mean:  14.00537300 | loss-std:   3.56824541
Step: 2 | Loss-mean:  13.67023182 | loss-std:   3.16272855
Step: 0 | Loss-mean:   9.74839878 | loss-std:   3.27870798
Step: 1 | Loss-mean:  12.09270000 | loss-std:   3.70409298
Step: 2 | Loss-mean:  11.86209869 | loss-std:   3.25400686
Step: 0 | Loss-mean:   8.83564758 | loss-std:   2.86943913
Step: 1 | Loss-mean:  12.69486046 | loss-std:   3.27992415
Step: 2 | Loss-mean:  12.21626282 | loss-std:   2.52877116
Step: 0 | Loss-mean:   9.91470528 | loss-std:   3.66474843
Step: 1 | Loss-mean:  12.89825821 | loss-std:   4.47776508
Step: 2 | Loss-mean:  12.34480953 | loss-std:   3.88664818
Step: 0 | Loss-mean:  10.04470062 | loss-std:   3.41381216
Step: 1 | Loss-mean:  13.97235298 | loss-std:   4.17902994
Step: 2 | Loss-mean:  13.18767357 | loss-std:   3.60197234
Step: 0 | Loss-mean:   8.90265846 | loss-std:   4.67235565
Step: 1 | Loss-mean:  11.68652153 | loss-std:   4.35023355
