Model already exists: ../sfd-main/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../sfd-main/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
cherish
4
torch.Size([12])
teacher now
torch.Size([3])
/home/zeus/miniconda3/envs/cloudspace/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
Total parameters in U-Net:      60417164
Setting up optimizer...
Training for 200 kimg...

Step: 0 | Loss-mean: 1131.86596680 | loss-std:  15.11037064
Step: 1 | Loss-mean: 113.01329041 | loss-std:   1.64005899
Step: 2 | Loss-mean:  26.66783142 | loss-std:   7.17913294
tick 0     kimg 0.3       time 35s          sec/tick 32.2    sec/kimg 125.81  maintenance 3.1    gpumem 20.11  reserved 20.26 
Step: 0 | Loss-mean: 1132.60986328 | loss-std:  14.32827282
Step: 1 | Loss-mean: 112.79802704 | loss-std:   1.55491138
Step: 2 | Loss-mean:  26.90095901 | loss-std:   7.08607721
Step: 0 | Loss-mean: 1132.23046875 | loss-std:  14.75182247
Step: 1 | Loss-mean: 112.70222473 | loss-std:   1.56101871
Step: 2 | Loss-mean:  26.77966690 | loss-std:   7.23471975
Step: 0 | Loss-mean: 1131.29663086 | loss-std:  13.62304211
Step: 1 | Loss-mean: 112.35502625 | loss-std:   1.46573675
Step: 2 | Loss-mean:  26.31872177 | loss-std:   6.46303511
Step: 0 | Loss-mean: 1131.79650879 | loss-std:  14.49182987
Step: 1 | Loss-mean: 112.32658386 | loss-std:   1.53241444
Step: 2 | Loss-mean:  25.92068100 | loss-std:   6.93351412
tick 1     kimg 1.3       time 1m 41s       sec/tick 65.6    sec/kimg 64.03   maintenance 0.0    gpumem 16.66  reserved 20.88 
Step: 0 | Loss-mean: 1130.89672852 | loss-std:  15.04456902
Step: 1 | Loss-mean: 112.10823059 | loss-std:   1.59282970
Step: 2 | Loss-mean:  25.63110733 | loss-std:   6.74562502
Step: 0 | Loss-mean: 1129.81494141 | loss-std:  13.44181061
Step: 1 | Loss-mean: 111.70020294 | loss-std:   1.39474452
Step: 2 | Loss-mean:  24.25015640 | loss-std:   6.67158937
Step: 0 | Loss-mean: 1130.89343262 | loss-std:  14.83724689
Step: 1 | Loss-mean: 111.70470428 | loss-std:   1.62012887
Step: 2 | Loss-mean:  24.01358795 | loss-std:   6.77982950
Step: 0 | Loss-mean: 1130.04467773 | loss-std:  14.22145271
Step: 1 | Loss-mean: 111.51651001 | loss-std:   1.50681508
Step: 2 | Loss-mean:  24.82336044 | loss-std:   6.71246195
tick 2     kimg 2.3       time 2m 48s       sec/tick 67.1    sec/kimg 65.50   maintenance 0.0    gpumem 16.66  reserved 20.88 
Step: 0 | Loss-mean: 1132.79919434 | loss-std:  15.49968052
Step: 1 | Loss-mean: 111.51034546 | loss-std:   1.67085576
Step: 2 | Loss-mean:  23.86332703 | loss-std:   6.59208441
Step: 0 | Loss-mean: 1131.55249023 | loss-std:  14.83279419
Step: 1 | Loss-mean: 111.22373962 | loss-std:   1.66272283
Step: 2 | Loss-mean:  23.51255798 | loss-std:   6.73115969
Step: 0 | Loss-mean: 1130.86840820 | loss-std:  14.21506691
Step: 1 | Loss-mean: 110.98838806 | loss-std:   1.57750332
Step: 2 | Loss-mean:  24.16690063 | loss-std:   6.98510504
Step: 0 | Loss-mean: 1130.88671875 | loss-std:  15.10243225
Step: 1 | Loss-mean: 110.82057953 | loss-std:   1.65529430
Step: 2 | Loss-mean:  22.84705734 | loss-std:   6.72971058
tick 3     kimg 3.3       time 3m 55s       sec/tick 67.2    sec/kimg 65.66   maintenance 0.0    gpumem 16.66  reserved 20.88 
Step: 0 | Loss-mean: 1129.17065430 | loss-std:  13.99011517
Step: 1 | Loss-mean: 110.42432404 | loss-std:   1.50937474
Step: 2 | Loss-mean:  22.27241135 | loss-std:   6.77241468
Step: 0 | Loss-mean: 1130.30920410 | loss-std:  14.28662109
Step: 1 | Loss-mean: 110.30555725 | loss-std:   1.61404514
Step: 2 | Loss-mean:  23.27266312 | loss-std:   6.80722857
Step: 0 | Loss-mean: 1130.41186523 | loss-std:  14.83980751
Step: 1 | Loss-mean: 110.16072083 | loss-std:   1.59171057
Step: 2 | Loss-mean:  22.99677658 | loss-std:   7.54328060
Step: 0 | Loss-mean: 1130.55541992 | loss-std:  14.73216152
Step: 1 | Loss-mean: 109.93274689 | loss-std:   1.58686018
Step: 2 | Loss-mean:  22.76677322 | loss-std:   7.09022474
tick 4     kimg 4.4       time 5m 02s       sec/tick 67.2    sec/kimg 65.64   maintenance 0.0    gpumem 16.66  reserved 20.88 
Step: 0 | Loss-mean: 1129.67968750 | loss-std:  15.47381306
Step: 1 | Loss-mean: 109.54882812 | loss-std:   1.67038083
Step: 2 | Loss-mean:  21.74650955 | loss-std:   6.55863047
Step: 0 | Loss-mean: 1131.84106445 | loss-std:  14.12400436
Step: 1 | Loss-mean: 109.59226990 | loss-std:   1.62715030
Step: 2 | Loss-mean:  22.55150604 | loss-std:   7.53430271
Step: 0 | Loss-mean: 1129.80383301 | loss-std:  13.77404118
Step: 1 | Loss-mean: 109.19807434 | loss-std:   1.48144615
Step: 2 | Loss-mean:  21.90546417 | loss-std:   6.42520094
Step: 0 | Loss-mean: 1127.67553711 | loss-std:  14.58337021
Step: 1 | Loss-mean: 108.78074646 | loss-std:   1.62623322
Step: 2 | Loss-mean:  21.76852226 | loss-std:   7.01087523
tick 5     kimg 5.4       time 6m 10s       sec/tick 67.3    sec/kimg 65.70   maintenance 0.0    gpumem 16.66  reserved 20.88 
Step: 0 | Loss-mean: 1129.90551758 | loss-std:  13.15435028
Step: 1 | Loss-mean: 108.85342407 | loss-std:   1.45845473
Step: 2 | Loss-mean:  22.03564072 | loss-std:   6.65581369
Step: 0 | Loss-mean: 1129.33203125 | loss-std:  14.11380100
Step: 1 | Loss-mean: 108.72761536 | loss-std:   1.50561070
Step: 2 | Loss-mean:  21.63252831 | loss-std:   6.60037804
Step: 0 | Loss-mean: 1129.52734375 | loss-std:  14.78086758
Step: 1 | Loss-mean: 108.41811371 | loss-std:   1.56850183
Step: 2 | Loss-mean:  21.53638268 | loss-std:   6.34012747
Step: 0 | Loss-mean: 1129.20178223 | loss-std:  14.19309902
Step: 1 | Loss-mean: 108.25395203 | loss-std:   1.55163717
Step: 2 | Loss-mean:  21.80280304 | loss-std:   6.77169466
tick 6     kimg 6.4       time 7m 17s       sec/tick 67.3    sec/kimg 65.71   maintenance 0.0    gpumem 16.66  reserved 20.88 
Step: 0 | Loss-mean: 1129.04687500 | loss-std:  14.59656143
Step: 1 | Loss-mean: 107.96916199 | loss-std:   1.58706498
Step: 2 | Loss-mean:  20.72570801 | loss-std:   6.55329132
Step: 0 | Loss-mean: 1128.73999023 | loss-std:  16.12581062
Step: 1 | Loss-mean: 107.59079742 | loss-std:   1.68179369
Step: 2 | Loss-mean:  20.49300957 | loss-std:   5.87290192
Step: 0 | Loss-mean: 1126.85046387 | loss-std:  14.29183292
Step: 1 | Loss-mean: 107.34620667 | loss-std:   1.59540606
Step: 2 | Loss-mean:  21.25130844 | loss-std:   7.15844393
Step: 0 | Loss-mean: 1127.17053223 | loss-std:  14.86072063
Step: 1 | Loss-mean: 107.05213928 | loss-std:   1.61640739
Step: 2 | Loss-mean:  21.20207214 | loss-std:   6.36920452
tick 7     kimg 7.4       time 8m 24s       sec/tick 67.3    sec/kimg 65.70   maintenance 0.0    gpumem 16.66  reserved 20.88 
Step: 0 | Loss-mean: 1127.83850098 | loss-std:  14.22944546
Step: 1 | Loss-mean: 106.91442871 | loss-std:   1.53266084
Step: 2 | Loss-mean:  20.76802254 | loss-std:   6.08711338
Step: 0 | Loss-mean: 1127.38220215 | loss-std:  13.43537235
Step: 1 | Loss-mean: 106.81598663 | loss-std:   1.52515113
Step: 2 | Loss-mean:  21.07076645 | loss-std:   6.66181755
Step: 0 | Loss-mean: 1129.08850098 | loss-std:  14.75271320
Step: 1 | Loss-mean: 106.61771393 | loss-std:   1.55688405
Step: 2 | Loss-mean:  20.63195992 | loss-std:   6.35085678
Step: 0 | Loss-mean: 1126.80041504 | loss-std:  13.40198231
Step: 1 | Loss-mean: 106.23333740 | loss-std:   1.49409056
Step: 2 | Loss-mean:  20.36359787 | loss-std:   6.57674694
tick 8     kimg 8.4       time 9m 32s       sec/tick 67.3    sec/kimg 65.70   maintenance 0.0    gpumem 16.66  reserved 20.88 
Step: 0 | Loss-mean: 1126.96166992 | loss-std:  13.17682838
Step: 1 | Loss-mean: 105.92956543 | loss-std:   1.44521070
Step: 2 | Loss-mean:  19.91015053 | loss-std:   6.00247192
Step: 0 | Loss-mean: 1127.44409180 | loss-std:  14.32414818
Step: 1 | Loss-mean: 105.84112549 | loss-std:   1.61517727
Step: 2 | Loss-mean:  20.53819847 | loss-std:   6.86148500
Step: 0 | Loss-mean: 1129.25122070 | loss-std:  15.15417767
Step: 1 | Loss-mean: 105.69149780 | loss-std:   1.62992811
Step: 2 | Loss-mean:  20.99479103 | loss-std:   5.89220238
Step: 0 | Loss-mean: 1126.50781250 | loss-std:  14.03807545
Step: 1 | Loss-mean: 105.56770325 | loss-std:   1.53767276
Step: 2 | Loss-mean:  20.46816635 | loss-std:   6.71860027
tick 9     kimg 9.5       time 10m 39s      sec/tick 67.3    sec/kimg 65.73   maintenance 0.0    gpumem 16.66  reserved 20.88 
Step: 0 | Loss-mean: 1127.23803711 | loss-std:  13.77050877
Step: 1 | Loss-mean: 105.11405945 | loss-std:   1.49677587
Step: 2 | Loss-mean:  19.48047256 | loss-std:   6.03634691
Step: 0 | Loss-mean: 1127.26123047 | loss-std:  13.98163795
Step: 1 | Loss-mean: 105.05718994 | loss-std:   1.63766050
Step: 2 | Loss-mean:  21.49090576 | loss-std:   7.07482576
Step: 0 | Loss-mean: 1127.32055664 | loss-std:  13.84713936
Step: 1 | Loss-mean: 104.68177795 | loss-std:   1.44474149
Step: 2 | Loss-mean:  20.33048058 | loss-std:   5.81375742
Step: 0 | Loss-mean: 1125.59643555 | loss-std:  14.55294514
Step: 1 | Loss-mean: 104.40883636 | loss-std:   1.58747649
Step: 2 | Loss-mean:  20.24238205 | loss-std:   6.06423759
tick 10    kimg 10.5      time 11m 46s      sec/tick 67.3    sec/kimg 65.70   maintenance 0.0    gpumem 16.66  reserved 20.88 
Step: 0 | Loss-mean: 1125.80041504 | loss-std:  14.61964703
Step: 1 | Loss-mean: 104.20955658 | loss-std:   1.60788286
Step: 2 | Loss-mean:  20.50104713 | loss-std:   6.01157045
Step: 0 | Loss-mean: 1127.38977051 | loss-std:  14.39153385
Step: 1 | Loss-mean: 104.07518768 | loss-std:   1.64486670
Step: 2 | Loss-mean:  20.70294571 | loss-std:   6.22291136
Step: 0 | Loss-mean: 1124.34619141 | loss-std:  13.83752823
Step: 1 | Loss-mean: 103.71395874 | loss-std:   1.57416832
Step: 2 | Loss-mean:  20.06613731 | loss-std:   6.84103775
Step: 0 | Loss-mean: 1126.02539062 | loss-std:  15.43570232
Step: 1 | Loss-mean: 103.46269989 | loss-std:   1.64667225
Step: 2 | Loss-mean:  20.73049927 | loss-std:   6.11905432
tick 11    kimg 11.5      time 12m 54s      sec/tick 67.3    sec/kimg 65.72   maintenance 0.0    gpumem 16.66  reserved 20.88 
Step: 0 | Loss-mean: 1125.07885742 | loss-std:  14.20089340
Step: 1 | Loss-mean: 103.18864441 | loss-std:   1.55097663
Step: 2 | Loss-mean:  20.36524963 | loss-std:   5.98660612
Step: 0 | Loss-mean: 1125.06921387 | loss-std:  13.81295586
Step: 1 | Loss-mean: 102.77735901 | loss-std:   1.56721318
Step: 2 | Loss-mean:  19.57144547 | loss-std:   6.02105284
Step: 0 | Loss-mean: 1125.55615234 | loss-std:  14.05969810
