-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.223s        44.86%        1.223s     611.390ms           0 b           0 b           0 b           0 b             2            --  
                             aten::convolution_backward         0.55%      28.797ms        10.44%     551.264ms       2.552ms        1.034s        37.92%        1.045s       4.836ms           0 b           0 b      13.72 Gb      12.28 Gb           216            --  
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us        1.020s        37.43%        1.020s     510.132ms           0 b           0 b           0 b           0 b             2            --  
                                aten::cudnn_convolution         0.24%      12.941ms         1.08%      56.907ms     281.717us     478.681ms        17.56%     478.681ms       2.370ms           0 b           0 b      10.50 Gb      10.50 Gb           202            --  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_...         0.00%       0.000us         0.00%       0.000us       0.000us     292.614ms        10.73%     292.614ms       3.251ms           0 b           0 b           0 b           0 b            90            --  
void cudnn::engines_precompiled::nchwToNhwcKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us     291.636ms        10.70%     291.636ms     329.160us           0 b           0 b           0 b           0 b           886            --  
                                             aten::add_         0.21%      11.104ms         0.82%      43.225ms      30.964us     231.756ms         8.50%     231.756ms     166.014us           0 b           0 b           0 b           0 b          1396            --  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_...         0.00%       0.000us         0.00%       0.000us       0.000us     230.537ms         8.46%     230.537ms       2.453ms           0 b           0 b           0 b           0 b            94            --  
sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us     223.581ms         8.20%     223.581ms       4.860ms           0 b           0 b           0 b           0 b            46            --  
                       aten::native_group_norm_backward         0.27%      14.427ms         5.65%     298.393ms       2.044ms     203.514ms         7.47%     203.514ms       1.394ms           0 b           0 b       8.72 Gb    -139.62 Mb           146            --  
                               Optimizer.step#Adam.step         0.00%       0.000us         0.00%       0.000us       0.000us     160.100ms         5.87%     160.100ms      80.050ms           0 b           0 b           0 b           0 b             2            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     155.663ms         5.71%     155.663ms     480.441us           0 b           0 b           0 b           0 b           324            --  
void cudnn::engines_precompiled::nhwcToNchwKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us     136.093ms         4.99%     136.093ms     328.728us           0 b           0 b           0 b           0 b           414            --  
                                aten::native_group_norm         0.17%       8.771ms         0.86%      45.419ms     311.092us     132.518ms         4.86%     132.518ms     907.658us           0 b           0 b       8.72 Gb     -87.00 Mb           146            --  
                                    aten::silu_backward         0.05%       2.427ms         0.36%      18.798ms     136.218us     110.475ms         4.05%     110.475ms     800.542us           0 b           0 b       8.39 Gb       8.39 Gb           138            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     110.475ms         4.05%     110.475ms     800.542us           0 b           0 b           0 b           0 b           138            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     109.087ms         4.00%     109.087ms     747.169us           0 b           0 b           0 b           0 b           146            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      97.571ms         3.58%      97.571ms     361.373us           0 b           0 b           0 b           0 b           270            --  
void at::native::(anonymous namespace)::ComputeInter...         0.00%       0.000us         0.00%       0.000us       0.000us      89.795ms         3.29%      89.795ms     615.037us           0 b           0 b           0 b           0 b           146            --  
                                              aten::mul         0.32%      17.151ms         5.58%     294.792ms     280.220us      71.791ms         2.63%      71.791ms      68.242us          16 b          16 b       8.16 Gb       8.16 Gb          1052      4273.305  
                                             aten::silu         0.06%       2.959ms         0.22%      11.724ms      84.953us      69.099ms         2.53%      69.099ms     500.720us           0 b           0 b       8.39 Gb       8.39 Gb           138            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      69.099ms         2.53%      69.099ms     500.720us           0 b           0 b           0 b           0 b           138            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      68.773ms         2.52%      68.773ms     471.045us           0 b           0 b           0 b           0 b           146            --  
                                            aten::copy_         0.45%      23.994ms        17.63%     931.388ms     342.927us      67.086ms         2.46%      67.086ms      24.700us           0 b           0 b           0 b           0 b          2716            --  
                                              aten::sum         0.15%       7.788ms         1.16%      61.042ms     177.449us      66.943ms         2.46%      66.943ms     194.601us           0 b           0 b     186.00 Kb     186.00 Kb           344            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      65.727ms         2.41%      65.727ms     252.796us           0 b           0 b           0 b           0 b           260            --  
void at::native::(anonymous namespace)::RowwiseMomen...         0.00%       0.000us         0.00%       0.000us       0.000us      63.132ms         2.32%      63.132ms     432.413us           0 b           0 b           0 b           0 b           146            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.714ms         1.68%      45.714ms     326.527us           0 b           0 b           0 b           0 b           140            --  
                                              aten::cat         0.03%       1.402ms         0.22%      11.369ms     236.854us      43.989ms         1.61%      43.989ms     916.429us           0 b           0 b       4.16 Gb       4.16 Gb            48            --  
sm80_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_...         0.00%       0.000us         0.00%       0.000us       0.000us      42.229ms         1.55%      42.229ms       1.242ms           0 b           0 b           0 b           0 b            34            --  
                                              aten::bmm         0.06%       3.285ms         0.36%      19.116ms     265.503us      41.196ms         1.51%      41.196ms     572.162us           0 b           0 b       2.92 Gb       2.92 Gb            72    521838.526  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_...         0.00%       0.000us         0.00%       0.000us       0.000us      39.959ms         1.47%      39.959ms       1.175ms           0 b           0 b           0 b           0 b            34            --  
                                   aten::native_dropout         0.04%       1.957ms         0.24%      12.638ms     191.492us      38.160ms         1.40%      38.160ms     578.187us           0 b           0 b       5.06 Gb           0 b            66            --  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us      38.160ms         1.40%      38.160ms     578.187us           0 b           0 b           0 b           0 b            66            --  
                          aten::native_dropout_backward         0.02%     973.680us         0.27%      14.170ms     214.695us      34.032ms         1.25%      34.032ms     515.629us           0 b           0 b       3.38 Gb           0 b            66            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      34.032ms         1.25%      34.032ms     515.629us           0 b           0 b           0 b           0 b            66            --  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_...         0.00%       0.000us         0.00%       0.000us       0.000us      32.438ms         1.19%      32.438ms       1.352ms           0 b           0 b           0 b           0 b            24            --  
sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_...         0.00%       0.000us         0.00%       0.000us       0.000us      29.250ms         1.07%      29.250ms       1.462ms           0 b           0 b           0 b           0 b            20            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      27.695ms         1.02%      27.695ms       1.259ms           0 b           0 b           0 b           0 b            22            --  
                       Runtime Triggered Module Loading         2.00%     105.558ms         2.00%     105.558ms       7.540ms      22.759ms         0.83%      22.759ms       1.626ms           0 b           0 b           0 b           0 b            14            --  
                                              aten::add         0.02%     913.149us         0.08%       4.417ms      81.798us      21.568ms         0.79%      21.568ms     399.410us          48 b          48 b       1.56 Gb       1.56 Gb            54       826.278  
ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      20.224ms         0.74%      20.224ms       1.011ms           0 b           0 b           0 b           0 b            20            --  
         ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn         0.00%       0.000us         0.00%       0.000us       0.000us      19.653ms         0.72%      19.653ms     517.190us           0 b           0 b           0 b           0 b            38            --  
      ampere_s1688gemm_fp16_128x128_ldg8_stages_32x1_tn         0.00%       0.000us         0.00%       0.000us       0.000us      19.154ms         0.70%      19.154ms       2.394ms           0 b           0 b           0 b           0 b             8            --  
sm80_xmma_wgrad_implicit_gemm_indexed_f16f16_f16f32_...         0.00%       0.000us         0.00%       0.000us       0.000us      18.678ms         0.69%      18.678ms     389.122us           0 b           0 b           0 b           0 b            48            --  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_...         0.00%       0.000us         0.00%       0.000us       0.000us      18.266ms         0.67%      18.266ms     380.538us           0 b           0 b           0 b           0 b            48            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      18.073ms         0.66%      18.073ms      20.126us           0 b           0 b           0 b           0 b           898            --  
