Model already exists: ../sfd-main/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../sfd-main/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
/home/zeus/miniconda3/envs/cloudspace/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
Total parameters in U-Net:      60396419
Setting up optimizer...
Training for 200 kimg...

Step: 0 | Loss-mean:   6.13646030 | loss-std:   2.63220620
Step: 1 | Loss-mean:  14.25265312 | loss-std:   4.25328588
Step: 2 | Loss-mean:  16.05167961 | loss-std:   3.73242879
tick 0     kimg 0.3       time 24s          sec/tick 18.6    sec/kimg 72.64   maintenance 5.0    gpumem 20.07  reserved 20.41 
Step: 0 | Loss-mean:   5.64601994 | loss-std:   2.92202568
Step: 1 | Loss-mean:  14.02766705 | loss-std:   4.84618282
Step: 2 | Loss-mean:  15.83338356 | loss-std:   4.26804447
Step: 0 | Loss-mean:   5.45330620 | loss-std:   2.61365390
Step: 1 | Loss-mean:  13.26522923 | loss-std:   4.36734056
Step: 2 | Loss-mean:  14.77983093 | loss-std:   3.83791733
Step: 0 | Loss-mean:   5.16304588 | loss-std:   2.23214269
Step: 1 | Loss-mean:  13.24315262 | loss-std:   4.30704165
Step: 2 | Loss-mean:  14.60688210 | loss-std:   3.73702216
Step: 0 | Loss-mean:   5.15973043 | loss-std:   2.55634069
Step: 1 | Loss-mean:  12.98529053 | loss-std:   4.34397840
Step: 2 | Loss-mean:  13.92947865 | loss-std:   3.55777979
tick 1     kimg 1.3       time 1m 04s       sec/tick 40.1    sec/kimg 39.19   maintenance 0.0    gpumem 16.62  reserved 17.49 
Step: 0 | Loss-mean:   4.95782614 | loss-std:   2.44879413
Step: 1 | Loss-mean:  12.32351112 | loss-std:   3.80266237
Step: 2 | Loss-mean:  13.21827221 | loss-std:   3.27699852
Step: 0 | Loss-mean:   5.17836809 | loss-std:   2.61272740
Step: 1 | Loss-mean:  12.19573021 | loss-std:   4.05891752
Step: 2 | Loss-mean:  12.78941250 | loss-std:   3.41950226
Step: 0 | Loss-mean:   4.63806677 | loss-std:   2.36686993
Step: 1 | Loss-mean:  11.20267296 | loss-std:   3.90065742
Step: 2 | Loss-mean:  11.76352692 | loss-std:   3.16994047
Step: 0 | Loss-mean:   4.66486025 | loss-std:   2.51098800
Step: 1 | Loss-mean:  11.28219700 | loss-std:   3.83173156
Step: 2 | Loss-mean:  11.41808128 | loss-std:   3.14371681
tick 2     kimg 2.3       time 1m 44s       sec/tick 40.7    sec/kimg 39.79   maintenance 0.0    gpumem 16.62  reserved 17.49 
Step: 0 | Loss-mean:   4.42926931 | loss-std:   2.36969352
Step: 1 | Loss-mean:  10.37934399 | loss-std:   3.51420999
Step: 2 | Loss-mean:  10.54528809 | loss-std:   2.84731364
Step: 0 | Loss-mean:   4.25618744 | loss-std:   2.25436783
Step: 1 | Loss-mean:  10.33727646 | loss-std:   3.60388446
Step: 2 | Loss-mean:  10.34205055 | loss-std:   2.90242457
Step: 0 | Loss-mean:   4.04079390 | loss-std:   1.94146264
Step: 1 | Loss-mean:   9.90705109 | loss-std:   3.50746822
Step: 2 | Loss-mean:   9.72104454 | loss-std:   2.77631235
Step: 0 | Loss-mean:   3.89891148 | loss-std:   1.92514062
Step: 1 | Loss-mean:   9.77363777 | loss-std:   3.30145025
Step: 2 | Loss-mean:   9.65912533 | loss-std:   2.48680520
tick 3     kimg 3.3       time 2m 25s       sec/tick 40.8    sec/kimg 39.85   maintenance 0.0    gpumem 16.62  reserved 17.49 
Step: 0 | Loss-mean:   3.76232433 | loss-std:   1.96719003
Step: 1 | Loss-mean:   9.02020073 | loss-std:   3.05093479
Step: 2 | Loss-mean:   9.11367989 | loss-std:   2.36596680
Step: 0 | Loss-mean:   3.66432166 | loss-std:   1.83292031
Step: 1 | Loss-mean:   8.69020557 | loss-std:   2.95210505
Step: 2 | Loss-mean:   8.92911339 | loss-std:   2.32274914
Step: 0 | Loss-mean:   3.43732285 | loss-std:   1.67988324
Step: 1 | Loss-mean:   8.45577049 | loss-std:   2.77952504
Step: 2 | Loss-mean:   9.13895416 | loss-std:   1.98878622
Step: 0 | Loss-mean:   3.05910683 | loss-std:   1.55443013
Step: 1 | Loss-mean:   8.20186138 | loss-std:   2.81108618
Step: 2 | Loss-mean:   9.13343906 | loss-std:   2.13561583
tick 4     kimg 4.4       time 3m 06s       sec/tick 40.7    sec/kimg 39.72   maintenance 0.0    gpumem 16.62  reserved 17.49 
Step: 0 | Loss-mean:   2.91955519 | loss-std:   1.49698210
Step: 1 | Loss-mean:   8.07002831 | loss-std:   2.54564190
Step: 2 | Loss-mean:   9.65312481 | loss-std:   2.07659364
Step: 0 | Loss-mean:   2.99766088 | loss-std:   1.46604407
Step: 1 | Loss-mean:   8.08653736 | loss-std:   2.55889773
Step: 2 | Loss-mean:   9.83608246 | loss-std:   2.14347935
Step: 0 | Loss-mean:   2.72661209 | loss-std:   1.39951026
Step: 1 | Loss-mean:   7.66859627 | loss-std:   2.66154718
Step: 2 | Loss-mean:   9.66032600 | loss-std:   2.12045622
Step: 0 | Loss-mean:   2.49925137 | loss-std:   1.28870475
Step: 1 | Loss-mean:   7.38364410 | loss-std:   2.41376734
Step: 2 | Loss-mean:   9.89261913 | loss-std:   1.98462701
tick 5     kimg 5.4       time 3m 47s       sec/tick 40.9    sec/kimg 39.98   maintenance 0.0    gpumem 16.62  reserved 17.49 
Step: 0 | Loss-mean:   2.27412295 | loss-std:   1.17011118
Step: 1 | Loss-mean:   7.30652475 | loss-std:   2.23950911
Step: 2 | Loss-mean:   9.75805473 | loss-std:   1.89438403
Step: 0 | Loss-mean:   2.28534079 | loss-std:   1.09026349
Step: 1 | Loss-mean:   7.08302307 | loss-std:   2.50848556
Step: 2 | Loss-mean:   9.38339806 | loss-std:   2.25280261
Step: 0 | Loss-mean:   2.12081218 | loss-std:   1.09619439
Step: 1 | Loss-mean:   7.16515636 | loss-std:   2.40402102
Step: 2 | Loss-mean:   9.32311249 | loss-std:   2.06182170
Step: 0 | Loss-mean:   2.12227535 | loss-std:   1.04367745
Step: 1 | Loss-mean:   6.78222084 | loss-std:   1.99972451
Step: 2 | Loss-mean:   8.76571846 | loss-std:   1.74768877
tick 6     kimg 6.4       time 4m 28s       sec/tick 41.0    sec/kimg 40.06   maintenance 0.0    gpumem 16.62  reserved 17.49 
Step: 0 | Loss-mean:   1.89389837 | loss-std:   0.87549013
Step: 1 | Loss-mean:   6.78543472 | loss-std:   2.48271394
Step: 2 | Loss-mean:   8.76654243 | loss-std:   1.95017266
Step: 0 | Loss-mean:   1.70191443 | loss-std:   0.94144326
